time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h)
2023-04-11T00:00,11.1,37,-3.1,7.2,0,0,0,1026.9,1023.9,0,0,0,0,0.06,0.83,9.4,227,20.9
2023-04-11T01:00,10.2,43,-1.8,6.6,0,0,0,1026.7,1023.7,0,0,0,0,0.04,0.71,8.1,212,18.4
2023-04-11T02:00,9.9,43,-2.1,6.2,0,0,0,1026.2,1023.2,0,0,0,0,0.05,0.7,9.1,252,21.6
2023-04-11T03:00,9,44,-2.6,5.5,0,0,0,1025.7,1022.7,0,0,0,0,0.04,0.64,7.2,233,19.8
2023-04-11T04:00,8.4,43,-3.4,5.1,0,0,0,1025.2,1022.2,0,0,0,0,0.02,0.63,5,201,11.9
2023-04-11T05:00,8,44,-3.5,4.8,0,0,0,1025.6,1022.6,0,0,0,0,0.02,0.6,4.2,211,13.7
2023-04-11T06:00,6.9,52,-2.2,3.9,0,0,0,1024.8,1021.8,0,0,0,0,0.01,0.48,3.9,146,6.8
2023-04-11T07:00,6.6,56,-1.5,3.3,0,0,0,1024.9,1021.9,0,0,0,0,0.01,0.43,6.9,171,11.5
2023-04-11T08:00,9.4,53,0.3,6.6,0,0,0,1025.3,1022.3,0,0,0,0,0.1,0.56,4.7,176,11.2
2023-04-11T09:00,13.3,37,-1.1,9.9,0,0,0,1024.4,1021.5,0,0,0,0,0.23,0.96,7.3,213,22
2023-04-11T10:00,16.5,32,-0.2,13.2,0,0,0,1023.8,1020.9,17,0,0,17,0.37,1.28,11.8,230,27
2023-04-11T11:00,20,27,0.5,18,0,0,0,1023.2,1020.3,2,0,0,2,0.49,1.71,9.1,236,24.8
2023-04-11T12:00,22,22,-0.7,19.6,0,0,0,1022.1,1019.3,0,0,0,0,0.58,2.07,13.4,239,25.9
2023-04-11T13:00,23.1,19,-1.8,19.6,0,0,0,1021.4,1018.6,4,0,0,4,0.65,2.3,20.4,244,31
2023-04-11T14:00,23.7,19,-1.3,19.5,0,0,0,1020.2,1017.4,8,0,0,8,0.65,2.37,23.1,239,32.8
2023-04-11T15:00,23.9,18,-1.8,19.4,0,0,0,1018.4,1015.6,3,0,0,3,0.6,2.44,22.5,238,37.8
2023-04-11T16:00,23.8,15,-4.4,18.2,0,0,0,1017.7,1014.9,99,0,67,99,0.54,2.51,22.2,238,39.6
2023-04-11T17:00,23.4,17,-3.1,17.6,0,0,0,1016.4,1013.6,9,0,0,9,0.45,2.39,22.6,245,36.7
2023-04-11T18:00,23.1,17,-3.3,17.6,0,0,0,1016.3,1013.5,100,0,100,100,0.34,2.35,20.2,235,37.4
2023-04-11T19:00,22.3,17,-3.9,17.2,0,0,0,1016.1,1013.3,93,0,93,22,0.24,2.24,17,238,39.2
2023-04-11T20:00,20.9,19,-3.6,16.2,0,0,0,1015.9,1013.1,70,0,70,40,0.19,2,14.5,226,40.7
2023-04-11T21:00,20.4,18,-4.7,15.5,0,0,0,1015.6,1012.8,98,0,98,63,0.17,1.97,15.1,218,40.7
2023-04-11T22:00,20.2,24,-1,15.8,0,0,0,1015.9,1013.1,99,0,81,99,0.15,1.8,14.8,227,32.4
2023-04-11T23:00,19.6,25,-1,15.1,0,0,0,1014.9,1012.1,99,0,99,99,0.15,1.71,15.3,227,35.6
2023-04-12T00:00,19.5,24,-1.6,14.2,0,0,0,1014.5,1011.7,99,0,52,99,0.19,1.72,20,240,37.1
2023-04-12T01:00,18.9,26,-1,14.5,0,0,0,1014.5,1011.7,99,0,0,99,0.14,1.62,14.3,252,25.9
2023-04-12T02:00,18.9,23,-2.7,14.1,0,0,0,1013.9,1011.1,7,0,0,7,0.16,1.68,15.5,239,34.6
2023-04-12T03:00,18.6,24,-2.3,14,0,0,0,1013.3,1010.5,3,0,0,3,0.15,1.64,14.8,241,25.6
2023-04-12T04:00,19,24,-2,14.1,0,0,0,1012.9,1010.1,91,0,0,91,0.16,1.67,16.6,248,27
2023-04-12T05:00,19,26,-0.9,14.8,0,0,0,1013.2,1010.4,99,0,99,99,0.13,1.63,13.4,239,38.2
2023-04-12T06:00,18.1,28,-0.7,14.2,0,0,0,1013.3,1010.5,76,0,76,73,0.11,1.5,11.6,240,45.7
2023-04-12T07:00,18.7,29,0.3,15.2,0,0,0,1013.8,1011,100,0,100,98,0.1,1.53,9.7,219,38.9
2023-04-12T08:00,19.2,27,-0.2,15.4,0,0,0,1014.4,1011.6,99,0,99,98,0.17,1.63,11.9,235,39.6
2023-04-12T09:00,20.7,30,2.5,17.1,0,0,0,1014.2,1011.4,84,0,11,84,0.31,1.72,13.4,275,40
2023-04-12T10:00,21.9,33,4.9,18.5,0,0,0,1014,1011.2,3,0,2,3,0.41,1.76,16,293,33.5
2023-04-12T11:00,24.3,30,5.6,21.6,0,0,0,1013.5,1010.7,7,0,0,7,0.56,2.13,18.6,288,37.4
2023-04-12T12:00,26.1,27,5.7,23.8,0,0,0,1012.8,1010,0,0,0,0,0.64,2.48,19.1,292,43.6
2023-04-12T13:00,27.4,23,4.5,24.7,0,0,0,1012.2,1009.4,0,0,0,0,0.7,2.82,21,292,42.5
2023-04-12T14:00,28.3,21,3.9,25.1,0,0,0,1011.5,1008.8,0,0,0,0,0.71,3.04,21.9,290,38.9
2023-04-12T15:00,29.1,21,4.6,25.7,0,0,0,1010.8,1008.1,1,0,1,0,0.67,3.19,21.4,283,35.3
2023-04-12T16:00,29.5,19,3.5,25.4,0,0,0,1010.2,1007.5,5,0,5,0,0.59,3.34,20,277,46.1
2023-04-12T17:00,29.8,17,2.2,25.3,0,0,0,1009.7,1007,13,0,13,0,0.49,3.49,19.1,269,44.6
2023-04-12T18:00,29,22,5.1,25.2,0,0,0,1009.5,1006.8,0,0,0,0,0.35,3.12,17.6,259,39.2
2023-04-12T19:00,28.8,21,4.3,26.1,0,0,0,1009.6,1006.9,1,1,0,0,0.19,3.14,9.7,266,30.6
2023-04-12T20:00,25.9,26,5,23.7,0,0,0,1010.2,1007.4,0,0,0,0,0.11,2.48,6.7,254,13.3
2023-04-12T21:00,24.4,31,6.2,22.7,0,0,0,1010.8,1008,0,0,0,0,0.05,2.11,4.7,261,12.6
2023-04-12T22:00,23.7,29,4.6,21.2,0,0,0,1011.7,1008.9,0,0,0,0,0.09,2.08,8.2,247,19.4
2023-04-12T23:00,21.8,30,3.5,18.5,0,0,0,1011.9,1009.1,0,0,0,0,0.13,1.83,12.3,255,14.8
