time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h)
2023-04-11T00:00,7.6,45,-3.6,4.2,0,0,0,1025.2,1009.5,0,0,0,0,0.02,0.58,5.8,180,9.4
2023-04-11T01:00,6.5,42,-5.5,3,0,0,0,1024.5,1008.8,0,0,0,0,0.02,0.56,5.1,184,14
2023-04-11T02:00,6.4,44,-5,3,0,0,0,1023.9,1008.2,8,0,0,8,0.02,0.54,4.3,204,12.6
2023-04-11T03:00,4.9,58,-2.6,1.6,0,0,0,1023.4,1007.6,3,0,0,3,0.01,0.37,5.4,176,13.3
2023-04-11T04:00,3.8,62,-2.8,0.9,0,0,0,1023.1,1007.2,1,1,0,0,0,0.31,2.9,83,13.7
2023-04-11T05:00,6.7,36,-7.4,2.7,0,0,0,1022.3,1006.6,16,0,0,16,0.04,0.63,6.8,148,32.4
2023-04-11T06:00,5.1,47,-5.3,1.4,0,0,0,1022,1006.2,8,0,8,2,0.02,0.47,5.8,202,19.4
2023-04-11T07:00,4.5,45,-6.4,0.5,0,0,0,1021.9,1006.1,1,0,1,1,0.01,0.47,7.7,208,21.2
2023-04-11T08:00,5.9,61,-1,3.3,0,0,0,1022,1006.3,0,0,0,0,0.06,0.36,2.5,352,8.6
2023-04-11T09:00,14.8,28,-3.5,9.5,0,0,0,1021.1,1005.9,0,0,0,0,0.28,1.22,18.4,235,41
2023-04-11T10:00,17.2,27,-2,11.9,0,0,0,1020,1004.9,3,0,0,3,0.39,1.43,21,239,41
2023-04-11T11:00,19.2,25,-1.3,14.2,0,0,0,1019.1,1004.1,75,0,0,75,0.47,1.67,23.3,235,38.9
2023-04-11T12:00,20.5,24,-0.7,15.6,0,0,0,1018.2,1003.3,85,0,0,85,0.56,1.84,26.7,241,38.5
2023-04-11T13:00,21.2,24,-0.1,17,0,0,0,1016.6,1001.7,36,0,3,36,0.59,1.92,24.7,241,37.8
2023-04-11T14:00,22.3,25,1.3,17.3,0,0,0,1015.5,1000.7,51,0,3,51,0.6,2.02,29.7,241,48.2
2023-04-11T15:00,22.7,26,2.2,17.2,0,0,0,1014.1,999.4,0,0,0,0,0.58,2.05,32,239,54.4
2023-04-11T16:00,22.5,25,1.5,16.1,0,0,0,1013.2,998.5,0,0,0,0,0.53,2.05,33.6,247,57.2
2023-04-11T17:00,22,25,1.1,15.5,0,0,0,1012.6,997.8,4,0,4,0,0.45,1.99,31.4,252,58.7
2023-04-11T18:00,21,30,2.7,15.2,0,0,0,1012.8,998,1,0,1,1,0.32,1.74,28.2,240,55.8
2023-04-11T19:00,20.9,26,0.7,14.5,0,0,0,1012.5,997.7,7,0,2,7,0.29,1.83,29.9,244,59
2023-04-11T20:00,19.7,31,2.1,13.6,0,0,0,1012.6,997.7,20,0,20,0,0.25,1.58,29.6,244,73.1
2023-04-11T21:00,18.5,32,1.5,12.1,0,0,0,1012.3,997.4,4,0,1,4,0.22,1.45,31.1,246,80.3
2023-04-11T22:00,18.4,32,1.4,12.3,0,0,0,1012.3,997.4,87,0,2,87,0.21,1.44,28.9,247,73.1
2023-04-11T23:00,18.3,34,2.2,12.1,0,0,0,1012.1,997.2,90,0,45,90,0.21,1.39,30.5,247,76.7
2023-04-12T00:00,17.9,36,2.6,12.7,0,0,0,1012.3,997.3,54,0,0,54,0.17,1.32,24.7,257,65.5
